"Company","Leader name","Domain","1) Company Enrich - Linkedin","1) Company Enrich - Employee Range","1) Company Enrich - Description","2) Company Type (2)","2) Company Type - response","3) Company Revenue Model(s)","3) Company Revenue Model(s) - response","4) Company Revenue","4) Enrich Church - Lead Pastor Name","4) Enrich Church - Member Count","4) Enrich Church - Church Denomination","4) Enrich Church - Physical Location Count","Facebook (Company)","Instagram (Company)","7) Instagram Followers","8) Company's media involvement","ENR - Audio Distribution Channels","Audio distribution channel names","audio distribution channel types","Find cumulative ad spend for a company","Sumadspend - Advertisers","Apple Podcast Link","Apple Podcast Link apple Podcast Url","Apple podcast - Avg Uploads (6 Months)","Company Tech Stack","11) Podcast Audience Metrics","Competitive Solutions in Use","Competitive Solutions in Use - response"
"Create Your Now, LLC","Kristianne Wargo","createyournow.com","https://www.linkedin.com/company/createyournow","Self-employed",,"Response","Media Ministry","One-time payments, Professional services/consulting, Transactional sales of digital products","One-time payments, Professional services/consulting, Transactional sales of digital products","$0-$1M",,,,,"createyournow","https://www.instagram.com/createyournow/","222","Both","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/create-your-now-with-kristi...","Apple Podcasts, Spotify, Pandora, Audible, Iheart Radio, Youtube, Pray Com","Podcast Directory, Streaming Platform, Online Radio, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/create-your-now-with-kristianne-wargo/id954737155","https://podcasts.apple.com/us/podcast/create-your-now-with-kristianne-wargo/id954737155","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":""https://createyournow.com/"",""evidenceSnippet"":""Site...","No customer relationships were found between Create Your Now, LLC and any of the specified companies."
"Crenshaw Christian Center","Dr. Frederick K. Price","faithdome.org","https://www.linkedin.com/company/ever-increasing-faith-church","11-50 employees",,"Response","Church","Donations, Subscription, Transactional","Donations, Subscription, Transactional","$1M-$10M",,,,,"http://www.facebook.com/eifministries","https://www.instagram.com/eifministries/reel/DGsZIEAxhJI/","16716","Radio and TV","{""name"":""Apple Podcasts"",""url"":""https://itunes.apple.com/us/podcast/the-ever-increasing-faith-pod...","Apple Podcasts, Google Play Music, Spotify, Youtube, Eifm On Demand, Eif Network, Roku, Apple App Store, Google Play Store, Apple App Store, Google Play Store","Podcast Directory, Streaming Platform, Other, Online Radio, Mobile App","❌ No spend data found",,"https://itunes.apple.com/us/podcast/the-ever-increasing-faith-podcast/id267246478?mt=2","https://itunes.apple.com/us/podcast/the-ever-increasing-faith-podcast/id267246478?mt=2","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Crenshaw Christian Center / FaithDome is not found to be a customer or partner of any of the companies in the provided list. Extensive searches on their official websites (faithdome.org and crenshawchristiancenter.net) and targeted searches across the web and the listed vendors' domains yielded no explicit, authoritative evidence such as logo walls, case studies, testimonials, partner listings, press releases, or documented technology usage that clearly associates Crenshaw Christian Center with any of the specified companies."
"CrossExamined.org","Dr. Frank Turek","crossexamined.org",,,,"Response","Parachurch organization","Donations, Investment income, Royalties","Donations, Investment income, Royalties","$1M-$10M",,,,,"crossexamined.org","https://www.instagram.com/drfrankturek/","652000","Radio, TV","{""name"":""American Family Radio (AFR) network"",""url"":""https://afr.net/station-finder/"",""frequency""...","American Family Radio Afr Network, American Family Radio Afr Network Streaming Audio, Apple Podcasts, Stitcher, Spotify, Youtube, Crossexamined App Subsplash, Cross Examined App Google Play, Crossexamined Org Website","Radio Station, Online Radio, Podcast Directory, Streaming Platform, Mobile App, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/i-dont-have-enough-faith-to-be-an-atheist/id1297439270","https://podcasts.apple.com/us/podcast/i-dont-have-enough-faith-to-be-an-atheist/id1297439270","8.7","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I performed targeted searches of CrossExamined.org (canonical domain crossexamined.org) and parallel web searches of the listed companies' public partner/customer directories and press pages. I inspected the CrossExamined site pages: Home (/), About (/about/), and News (/news/) plus attempted Partners and Testimonials pages. I also ran brand-specific queries (site:brand ""CrossExamined"" / ""crossexamined"" and web queries combining ""CrossExamined.org"" with each brand name and partner/customer keywords). None of the pages or search results contained explicit evidence—case studies, testimonials, logo placements, partner directories, or press releases—showing CrossExamined.org as a customer, client, or partner of any company in the provided list. Based on these searches, no matches were found."
"Crossroads with Jenny Bushkell","Jenny Bushkell","jennybushkell.com",,,,"Response","Media Ministry","Sponsorship/Advertising, Speaking/Appearances, Donations/Donor support","Sponsorship/Advertising, Speaking/Appearances, Donations/Donor support",,,,,,,,,"Radio","{""name"":""Joy 620 WRJZ"",""url"":""http://www.wrjz.com/"",""frequency"":""620 AM, 102.5 FM, 99.5 FM"",""mark...","Joy 620 Wrjz, Apple Podcasts, Spotify, Joy620 App, Wrjz Com, Youtube, Hisair Net","Radio Station, Podcast Directory, Streaming Platform, Mobile App, Online Radio, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/crossroads-with-jenny-bushkell/id1472251124","https://podcasts.apple.com/us/podcast/crossroads-with-jenny-bushkell/id1472251124","0.7","Response","Response","{""matchedCompany"":""wrjz.com"",""evidenceUrl"":""https://jennybushkell.com"",""evidenceSnippet"":""Friday ...","Crossroads with Jenny Bushkell is a customer of wrjz.com. The show 'Crossroads with Jenny Bushkell' explicitly states on its website, jennybushkell.com, that it airs on Joy 620 WRJZ. No other customer relationships were found with the other companies in the provided list."
"Curt Landry Ministries","Curt Landry","curtlandry.com","https://www.linkedin.com/company/curt-landry-ministries","51-200 employees","At Curt Landry Ministries we know you love Israel. You have been grafted-in, sharing in the same spiritual heritage (Romans 11:11-31). You want to live victoriously in your faith and stand with Israel in this hour. 

To do this, you need understanding and teaching about the spiritual heritage you have been adopted into through Jesus. Without this understanding, you experience doubt and unbelief. Jesus said He did not leave us as orphans (John 14:18) but came to reconcile us to Himself (2 Corinthians 5:19), giving us abundant life (John 10:10)!

We understand what it is like to experience doubt and unbelief, to feel that something is missing in our walk. This is why, for more than 30 years, we have cared for those in Israel, and provided revelatory teaching about the One New Man in Christ (Ephesians 2:15). 

We exist to be a voice in this hour. A voice of truth for the Church and Israel. We desire that Jew and Gentile come together as One New Man in Christ, walking in covenant revelation and relationship. 

Experience the abundant life Jesus talked about—one that is full of joy and shalom, where nothing is missing, and nothing is broken. Be equipped to break through any circumstance that you face by aligning with God’s heart.","Response","Parachurch organization","Donations, Product sales, Event ticketing, Subscriptions/Memberships","Donations, Product sales, Event ticketing, Subscriptions/Memberships","$25M - $50M",,,,,"http://www.facebook.com/OneNewManUnited","https://www.instagram.com/curtlandrymin/","24000","TV","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/3WrWW2NuDCYCa2VAWW34LZ"",""frequency"":null,""...","Spotify, Spotify, Apple Podcasts, Apple Podcasts, Rss Com, Youtube, Charisma Podcast Network, Audacy, Podbean, Curt Landry Ministries Website, Curt Landry Ministries Website","Streaming Platform, Podcast Directory, Other","✅ Spend data found for curtlandry.com",41.5522575378418,"https://podcasts.apple.com/us/podcast/curt-landry-ministries-and-the-one-new-man-network-podcast/...","https://podcasts.apple.com/us/podcast/curt-landry-ministries-and-the-one-new-man-network-podcast/id1300094581","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit statement tying Curt Landry Ministries (curtlandry.com) to YouVersion/Bible.com or any other listed company was found. The YouVersion/Bible.com reading plan is authored by Rabbi Curt Landry but attributed to House of David Ministries, not Curt Landry Ministries. Therefore, based on the instructions, the result is 'None found'."
"Daily Hope","Rick Warren","pastorrick.com","https://www.linkedin.com/company/purpose-driven-connection","51-200 employees","PURPOSE DRIVEN CONNECTION is a nonprofit organization based out of Rancho Santa Margarita, California, United States.

Purpose Driven Connection is a ministry formed to market, promote and manage ministry broadcasts, products and derivations that are developed primarily from the sermons and other writings of Pastor Rick Warren.

Rick Warren is an innovative pastor, renowned author, and global influencer. The various ministries Pastor Rick has created are a multi-faceted expression of his heart to bring the whole Gospel to the whole world.

Since founding Saddleback Church in 1980, Rick Warren continues to be at the forefront of the evangelical movement, encouraging churches everywhere to be a sanctuary for hope and healing.

Learn, Love, Live The Word

Pastor Rick’s passion to launch on radio was born from three deep convictions…

People are discouraged and everyone needs HOPE. We know that HOPE comes from the Scriptures. Discouragement is rampant… in the weak economic recovery and high rate of joblessness, the natural disasters, painful school shootings, gridlock among political leaders and much more.  Society is coarsening and there is a clear loss of civility. People need to hear the Gospel and the HOPE in CHRIST more than ever.

Bringing the Gospel to the unreached is our greatest goal. Pastor Rick passionately feels the need to reach the remaining 2900 unreached tribes and people groups with the Gospel of Jesus. This is the greatest evangelistic global initiative we can team up together to achieve (Revelations 7:9).","Response","Media Ministry","Donation, Transactional","Donation, Transactional","$0 - $500K",,,,,"pastorrickwarren","https://www.instagram.com/pastorrickwarren/","1100000","Radio and TV","{""name"":""PastorRick.com (Daily Hope website)"",""url"":""https://www.pastorrick.com/current-teaching""...","Pastorrick Com Daily Hope Website, Apple Podcasts, Spotify, Amazon Music Podcasts, Youtube, Oneplace, Air1, Syndicated Radio Affiliates U S International","Other, Podcast Directory, Streaming Platform, Online Radio, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/pastor-ricks-daily-hope/id631094342","https://podcasts.apple.com/us/podcast/pastor-ricks-daily-hope/id631094342","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/organizations/ed84fdec-3bb3-43...","Daily Hope (pastorrick.com) is a customer of bible.com (YouVersion/Bible App). An explicit organization page on bible.com lists 'Rick Warren/Daily Hope' with a description and a link to PastorRick.com, indicating their presence on the platform. No other explicit customer relationships were found among the provided list of companies."
"Derek Prince Ministries","Derek Prince Ministries","derekprince.org","https://www.linkedin.com/company/derek-prince-ministries","11-50 employees","Derek Prince Ministries is a nonprofit organization management company based out of United States.","Response","Media Ministry","Donations, Transactional sales, Investment income","Donations, Transactional sales, Investment income","$1M - $5M",,,,,"http://www.facebook.com/dpmlegacy","https://www.instagram.com/derek_prince_ministries/","67000","Both","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/derek-prince-ministries-pod...","Apple Podcasts, Spotify, Amazon Music, Youtube, Tunein, Wgnz Radio","Podcast Directory, Streaming Platform, Online Radio, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/derek-prince-ministries-podcast/id1453391323","https://podcasts.apple.com/us/podcast/derek-prince-ministries-podcast/id1453391323","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/en-GB/organizations/7041c207-9...","No main response was provided in the input."
"Discovering The Jewish Jesus","Rabbi Schneider","discoveringthejewishjesus.com","https://www.linkedin.com/company/discovering-the-jewish-jesus",,,"Response","Media Ministry","Donations (including recurring/subscription-style monthly giving), Transactional (store sales)","Donations (including recurring/subscription-style monthly giving), Transactional (store sales)","$5M - $10M",,,,,"http://www.facebook.com/pages/Discovering-The-Jewish-Jesus-with-Rabbi-Schneider/323215607705254","https://www.instagram.com/discoveringthejewishjesus/","15900","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/discovering-the-jewish-jesu...","Apple Podcasts, Podbean, Podbean Rss Feed, Spotify, Youtube Music, Tunein, Iheart, Amazon Music, Csn, Wxjc, Wxjc, Cjjc, Sirius Xm, Wjiv, Wmca, Rabbi Schneider App, Youtube, Youtube","Podcast Directory, Streaming Platform, Online Radio, Radio Station, Satellite Radio, Mobile App","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/discovering-the-jewish-jesus-audio-podcast/id1450206981","https://podcasts.apple.com/us/podcast/discovering-the-jewish-jesus-audio-podcast/id1450206981","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/reading-plans/13539-discover-t...","[ { ""matchedCompany"": ""bible.com"", ""evidenceUrl"": ""https://www.bible.com/reading-plans/13539-discover-the-jewish-jesus"", ""evidenceSnippet"": ""In this 5-day devotional, Rabbi Kirt A. Schneider unpacks why understanding the person of Jesus is instrumental in bridging the gap between Judaism and Christianity."" } ]"
"Divine Health","Dr. Don & Mary Colbert","divinehealth.com",,,,"Response","Other","Subscription, Transactional","Subscription, Transactional","$1M - $5M",,,,,,"https://www.instagram.com/divinehealthnutrition/","19300","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/divine-health-with-dr-don-c...","Apple Podcasts, Spotify, Tunein, Iheartradio, Rss Com, Spotify, Apple Podcasts, Youtube, Libsyn Divine Health, Drcolbert Com Show Website Podcast Category","Podcast Directory, Streaming Platform, Online Radio, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/divine-health-with-dr-don-colbert/id1565586866","https://podcasts.apple.com/us/podcast/divine-health-with-dr-don-colbert/id1565586866","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit, authoritative evidence was found that Divine Health (domain divinehealth.com) is a customer of, partner with, or uses any of the listed companies: youversion.com, angel.com, bible.com, pushpay.com, pulpitai.com, christianpost.com, gloo.us, glorify.com, simplecast.com, abideomaha.org, sharefaith.com, faithwire.com, churchtechonline.com, cbndigital.com.tr, ytatv.com, churchtranslation.org, rightnowmedia.org, livevoice.io, cbn.com, emfmedia.com, salemmedia.com, daystar.com, tct.tv, bottradionetwork.com, afr.net, wrjz.com, ytatv.com, tbn.org. Therefore, the matched company is 'None found'."
"Dream City Church[67]","Franklin Santage","dreamcitychurch.us","https://www.linkedin.com/company/phoenix-first-assembly_2","51-200 employees","At Dream City Church, we want you come as you are! Our services are for you, and are focused on Jesus, not on what you're wearing. Dress however you are comfortable.","Response","Church","Donations, Tithes, Offerings","Donations, Tithes, Offerings","$10M - $25M","Luke Barnett",21000,"Pentecostal",10,"dreamcitychurch","https://www.instagram.com/dreamcitychurch/","31000","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/ca/podcast/dream-city-church/id1714711...","Apple Podcasts, Spotify, Youtube, Iheartradio, Tunein, Amazon Music, Dream City Church App Ios, Dream City Church App Android","Podcast Directory, Streaming Platform, Online Radio, Mobile App","❌ No spend data found",,"https://podcasts.apple.com/ca/podcast/dream-city-church/id1714711187","https://podcasts.apple.com/ca/podcast/dream-city-church/id1714711187","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Final determination: None found. Reasoning: - I searched the canonical site (dreamcitychurch.us) across likely pages and site-search queries (give, mobile-app, watch/online campus, blog, locations) for explicit evidence that Dream City Church (domain: dreamcitychurch.us) is a customer/user/partner of any company on the provided list. I also searched the vendor/customer directories and public pages of the listed companies for mentions of ""Dream City Church"" tied to the canonical domain. - On the canonical site (dreamcitychurch.us) I found no explicit statements, logo walls, case studies, testimonials, or partner listings that name any of the companies from the provided list as vendors for dreamcitychurch.us. The Give page references dreamcitychurch.onlinegiving.org and an integration with Overflow (app.overflow.co) for stock/crypto giving, but none of those vendors are in the provided list. - I found vendor pages mentioning entities named ""Dream City Church"" in other campus-specific contexts (examples: a RightNow Media join page for ""Dream City Church"" in McAlester, OK, and a Pushpay-related Android app entry for ""Dream City Omaha""). However, those vendor pages either point to different campus domains (dreamcityok.church, dreamcityomaha.church) or do not explicitly tie the canonical domain dreamcitychurch.us to the vendor. Under the explicit-evidence requirement, these do not qualify as proof that dreamcitychurch.us is a customer of the listed companies. - Therefore, using only explicit, unambiguous evidence that directly associates the canonical domain dreamcitychurch.us (Dream City Church[67]) with any vendor on the list, I found no matches."
"Drenda","Gary Keesee + Drenda Keesee","drenda.com",,,,"Response","Media Ministry","E-commerce (product sales), Donations/Contributions, Subscription (membership/paid content/partne...","E-commerce (product sales), Donations/Contributions, Subscription (membership/paid content/partner program), Events/Services (speaking engagements/paid appearances)",,,,,,"drendakeesee","https://www.instagram.com/drendakeesee/","21800","TV, Radio","{""name"":""YouTube"",""url"":""https://www.youtube.com/@DrendaOnGuard"",""frequency"":null,""marketCity"":nu...","Youtube, Rumble, Apple Podcasts, Spotify, Spreaker, Iheartradio, Pray Com, Tunein","Streaming Platform, Podcast Directory, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/drenda-on-guard/id1628339090","https://podcasts.apple.com/us/podcast/drenda-on-guard/id1628339090","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/reading-plans/11177-happy-you-...","Drenda (drenda.com) is a content provider for bible.com and youversion.com. Explicit evidence was found on Bible.com (YouVersion) showing a reading plan provided by Drenda Keesee Ministries that links to drenda.com. No other listed companies showed explicit evidence linking Drenda as a customer or user in the pages searched."
"Duane Sheriff Ministries","Duane Sheriff","pastorduane.com",,,,"Response","Media Ministry","Donations, Transactional product sales (E-commerce), Subscription (recurring donations)","Donations, Transactional product sales (E-commerce), Subscription (recurring donations)",,,,,,"brotherduane","https://www.instagram.com/reel/DTL6WgrDwIc/","275000000","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/duane-sheriff-ministries-me...","Apple Podcasts, Spotify, Youtube, Iheart, Tunein, Amazon Music, Feedburner Rss, Subsplash, Gospel Truth Network Gtn, Ctn Southwest Florida Wrxy, Faith Tv","Podcast Directory, Streaming Platform, Online Radio, Mobile App, Other","✅ Spend data found for pastorduane.com",4.69950532913208,"https://podcasts.apple.com/us/podcast/duane-sheriff-ministries-messages/id1171446291","https://podcasts.apple.com/us/podcast/duane-sheriff-ministries-messages/id1171446291","0","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://pastorduane.com/privacy-policy/"",""evidence...","Duane Sheriff Ministries is a customer of PushPay. The organization's privacy policy explicitly lists PushPay among the ""Software and Services we use"". No explicit, authoritative evidence was found to confirm a customer relationship with any other companies from the provided list."
"Dunham+Co","Jarrett Stephens","dunhamandcompany.com","https://www.linkedin.com/company/dunham---company","51-200 employees","Dunham+Company is a global marketing and fundraising firm that specializes in helping Christian nonprofit ministries extend their cause by generating more resources to fulfill their mission. Our model is built on over 30 years of experience and expertise with skills that are tuned to specifically address the marketing and fundraising challenges nonprofit organizations face.","Response","Agency","Professional services / consulting (project fees, retainers), Commission / performance-based fees...","Professional services / consulting (project fees, retainers), Commission / performance-based fees (percentage of funds raised or success fees), Advertising/media commissions or markups.","$10M - $25M",,,,,"http://www.facebook.com/DunhamCompany/102841203125280","https://www.instagram.com/dunhamandcompany/","938","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/decisions-a-dunham-company-...","Apple Podcasts, Spotify, Spotify, Youtube, Youtube, Spreaker","Podcast Directory, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/decisions-a-dunham-company-podcast/id1579612730","https://podcasts.apple.com/us/podcast/decisions-a-dunham-company-podcast/id1579612730","1.3","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://pushpay.com/blog/digital-giving-trends-rep...","Dunham+Co is explicitly associated with pushpay.com and bible.com based on the cited sources below."
"Eaglecom Marketing","Adrian Rodgers","eaglecom.ca","https://www.linkedin.com/company/eaglecommarketing","11-50 employees","Non-profit organizations need to make responsible media decisions with the financial resources entrusted to them.

That’s where we come in! Our specialized team becomes an extension of your organization to clarify, execute and manage your media needs.

You’ll have peace of mind and confidence that your resources are wisely invested to help you convey life-changing messages.","Response","Agency","Service fees, Retainer (Subscription), Media-buying commissions/Markups, Performance-based (Succe...","Service fees, Retainer (Subscription), Media-buying commissions/Markups, Performance-based (Success/Transactional)","$1M - $5M",,,,,"http://www.facebook.com/EagleComMarketing","https://www.instagram.com/eaglecommarketing/","511","Radio, TV","{""name"":""noResults"",""url"":null,""frequency"":null,""marketCity"":null,""channelType"":""other"",""showOrCh...","Noresults","Other","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""None found"",""evidenceUrl"":""https://eaglecom.ca/clients/"",""evidenceSnippet"":""Ou...","No explicit evidence was found to confirm that Eaglecom Marketing (eaglecom.ca) is a customer of any of the specified companies. A thorough search of Eaglecom Marketing's website, including client and about pages, and site-restricted searches for vendor names, did not yield any mentions. Additionally, searches on vendor domains and the broader web for authoritative statements of a customer relationship also returned no results."
"Eagles' Wings","Bishop Robert Stearns","eagleswings.org","https://www.linkedin.com/company/eagles-wings-org","11-50 employees","Discover and Grow in Jerusalem-Centered Christianity!","Response","Parachurch organization","Donations/Contributions, Program service fees, Sales (inventory/merchandise)","Donations/Contributions, Program service fees, Sales (inventory/merchandise)","$1M-$10M",,,,,,"https://www.instagram.com/eagleswingsintl/","7803","Both","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/eagles-wings-roundtable-pod...","Apple Podcasts, Spotify, Iheartradio, Amazon Music, Youtube","Podcast Directory, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/eagles-wings-roundtable-podcast/id1733295127","https://podcasts.apple.com/us/podcast/eagles-wings-roundtable-podcast/id1733295127","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":""https://eagleswings.org/testimonials"",""evidenceSnip...","No explicit, authoritative evidence was found to indicate that Eagles' Wings (eagleswings.org) is a customer, user, or partner of any of the listed companies. Searches of the Eagles' Wings website and third-party sources did not yield any explicit statements such as logo walls, case studies, testimonials, partner/customer lists, press releases, or documented technology usage that would confirm such a relationship."
"Eastern European Mission","Dirk Smith","eem.org","https://www.linkedin.com/company/eastern-european-mission","11-50 employees","As followers of Jesus Christ, we at EEM share God’s Word with the people of Eastern Europe and beyond and seek to educate and inspire God’s servants everywhere to partner with us in His ministry.","Response","Parachurch organization","Not found","Not found","$1M - $5M",,,,,"http://www.facebook.com/EasternEuropeanMission","https://www.instagram.com/eembibles/","Response","TV","{""name"":""EEM Website"",""url"":""https://eem.org/5511podcast"",""frequency"":null,""marketCity"":null,""cha...","Eem Website, Apple Podcasts, Spotify, Youtube","Other, Podcast Directory, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/55-11-podcast/id1624549549","https://podcasts.apple.com/us/podcast/55-11-podcast/id1624549549","0.8","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found: there is no explicit public evidence that Eastern European Mission (eem.org) is a customer or user of any company from the provided list."
"Elizabeth Johnston","Elizabeth Johnston","elizabethjohnston.org",,,,"Response","Media Ministry","Donations, Product sales (books/merch), Transactional one-time payments for events/mentorships/co...","Donations, Product sales (books/merch), Transactional one-time payments for events/mentorships/courses, Advertising (platform ad revenue), Membership/Subscription","$0-$1M",,,,,,"https://www.instagram.com/elizabethjohnston/","329000","Both","{""name"":""Simplecast (show website)"",""url"":""https://elizabethjohnston.simplecast.com/"",""frequency""...","Simplecast Show Website, Apple Podcasts, Spotify, Podbean, Audacy, Youtube, Listen Notes, Podchaser","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-elizabeth-johnston-podcast/id1546268667","https://podcasts.apple.com/us/podcast/the-elizabeth-johnston-podcast/id1546268667","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":""None found"",""evidenceSnippet"":""None found""}","I searched the target site (elizabethjohnston.org) and ran third-party brand searches for explicit evidence that Elizabeth Johnston (elizabethjohnston.org) is a customer, client, partner, or documented user of any company in the provided list. I inspected the site’s homepage, About page, Partner page, and other public pages; and searched brand-specific pages and general web results for explicit partner/customer listings or case studies naming Elizabeth Johnston. I found no explicit evidence that Elizabeth Johnston or elizabethjohnston.org is a customer/user/partner of any of the listed companies. Evidence reviewed (selected excerpts) is provided below. Conclusion: None found."
"Engage Your Destiny","Ben Peterson","engageyourdestiny.com","https://www.linkedin.com/company/engage-your-destiny","2-10 employees","Engage Your Destiny (EYD) is on a mission to help combat the deadly epidemic of veteran suicide by equipping our Bravest with the spiritual tools they need to face any battle. We exist to minister to the military men and women of the United States, and get them connected to life-changing programs and resources.
 
Join the mission and bring honor, hope and healing to our active duty military, veterans and their families today: www.engageyourdestiny.com/donate","Response","Parachurch organization","Donations (Contributions), Program service revenue","Donations (Contributions), Program service revenue","$5M - $10M",,,,,"benjaminjameslive","https://www.instagram.com/engage.your.destiny/","12000","No radio or TV programming details available for Engage Your Destiny","{""name"":""Engage Your Destiny Website"",""url"":""https://engageyourdestiny.org/podcast"",""frequency"":n...","Engage Your Destiny Website, Spotify, Apple Podcasts, Iheartradio, Youtube, Amazon Music, Pray Com","Other, Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-engage-your-destiny-podcast/id1720830084","https://podcasts.apple.com/us/podcast/the-engage-your-destiny-podcast/id1720830084","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Based on the searches performed and the authoritative pages examined, there is no explicit public evidence that Engage Your Destiny is a customer or user of any of the companies in the supplied list."
"EPIC Agency","Victor Marx","ericmetaxas.com",,,,"Response","Media Ministry","Subscription, Donations, Transactional","Subscription, Donations, Transactional","$1M - $5M",,,,,"http://www.facebook.com/eric.metaxas","https://www.instagram.com/ericmetaxas/","83300","No radio or TV programming details available for EPIC Agency","{""name"":""YouTube"",""url"":""https://www.youtube.com/channel/UCgkKp5zkTgzJpuEeMaTemjg"",""frequency"":nu...","Youtube, Rumble, Apple Podcasts, Spotify, Kick 92 3 Fm 1340 Am, Christianradio Com, Wpit, Am 1280 The Patriot, Radioalabama Net","Streaming Platform, Podcast Directory, Radio Station, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-eric-metaxas-show/id991156680","https://podcasts.apple.com/us/podcast/the-eric-metaxas-show/id991156680","4","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I searched ericmetaxas.com (home, about, contact, blog and other site pages) for any explicit statements, logo walls, case studies, testimonials, partner lists, press releases or technology/“uses” statements linking the site (ericmetaxas.com) or EPIC Agency to any companies in the provided list. I also reviewed EPIC Agency’s site (epic.inc) for client lists/case studies mentioning any of the listed companies and searched for cross-mentions on the vendors’ sites. I found no explicit evidence that EPIC Agency (ericmetaxas.com) is a customer or user of any of the companies in the provided list."
"Esther Crown Ministries","Tonya Blount","apostletonya.org",,,,"Response","Media Ministry","Transactional, Donations","Transactional, Donations",,,,,,,,,"No radio or TV programming details available for Esther Crown Ministries","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/holy-podcast-with-apostle-t...","Apple Podcasts, Spotify, Youtube, Apostletonya Org","Podcast Directory, Streaming Platform, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/holy-podcast-with-apostle-tonya/id1586148806","https://podcasts.apple.com/us/podcast/holy-podcast-with-apostle-tonya/id1586148806","0.8","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","[{""matchedCompany"": ""None found""}]"
