"Company Name","ENR - Weekly Activity Summary","OUT - Weekly Activity Summary","OUT - Competitive News Summary & Action","OUT - Weekly intelligence brief","Weekly intelligence brief: Subject","Weekly intelligence brief: Body","Send message to channel","Segment","Category","Competitive Inisghts","Find Domain from Company Name","Find Domain from Company Name (2)","Find domain from company name","OUT - Domain","OUT - LinkedIn Url","OUT - Company Revenue","OUT - PMM - Company Problem & Differentiation Response","Pricing Details","OUT - PMM - B2B Customer Names Sample","OUT - FUNDING - Funding Stage","OUT - FUNDING - Investors","OUT - FUNDING - Latest Funding"
"Abide","Abide promoted its 'New Testament in 90 Days' campaign; Abide Omaha released its 2026 event calen...","Abide promoted its 'New Testament in 90 Days' campaign; Abide Omaha released its 2026 event calendar and shared an MLK Jr. tribute.",,,"Here is our first Weekly intelligence brief"," ",,"Listeners","Streaming / Digital Platforms","Abide is a faith-based nonprofit organization that provides holistic community development services through four main areas: community building, family support programs, neighborhood initiatives, and partnerships. The organization primarily targets underserved inner-city neighborhoods in Omaha, Nebraska, focusing on youth, families, institutional funders, major donors, and volunteer cohorts. Revenue is generated through contributions (~80%), grants from foundations, and earned income from campus rentals and facility usage. Distribution occurs through community events, volunteer-driven outreach, the Better Together Campus partnership model, and targeted neighborhood presence via Lighthouse teams deployed in prioritized zones. Abide differentiates itself by offering a holistic, neighborhood-focused approach that transforms inner-city communities through safer neighborhoods, stronger families, and emerging leadership development, positioning against the continued challenges of poverty, crime, and lack of community development.","abideomaha.org",,,"abideomaha.org","https://www.linkedin.com/company/abide-omaha","$1M - $5M","1. Transforms inner-city neighborhoods by fostering healthy communities and supporting families.  
2. Local government programs, individual initiatives, or other non-profit organizations.  
3. Continued inner-city challenges such as poverty, crime, and lack of community development.  
4. Offers a holistic, neighborhood-focused approach with emphasis on family support and community partnerships.","$65.99",,"Summary conclusion: The organization matching the name ""Abide"" at domain abideomaha.org is Abide Network Inc (EIN 47-0655246), a registered 501(c)(3) nonprofit based in Omaha, NE. No disclosed venture capital funding rounds were found for this organization. Its revenues are reported as contributions, grants, and rental income (per Form 990) and it solicits donations via PayPal and Venmo. Funding stage (VC terminology): No disclosed VC funding / Not applicable (nonprofit, donor-funded). Last VC round: None found.","","Research summary and final finding:

Sources reviewed include the organization’s official website (abideomaha.org), CauseIQ grant/financial listings, and Charity Navigator’s Form 990–derived financial summary. The most recent publicly disclosed single funding amount identified is a $711,500 USD grant (tax period 2024-12) reported from the Charles Downey Family Foundation. CauseIQ’s update log (identified in a July 2, 2025 update) lists this $711,500 grant among newly identified grants. Additional recent grants listed in public sources include $48,842 (DAFgiving360, 2024-06) and $87,700 (Omaha Community Foundation, 2023-12). The latest reported total revenue (total receipts) for the organization is $2,626,978 USD for fiscal year ending 12/2023 (per CauseIQ/Form 990 data).

Notes and caveats:
- The $711,500 figure is reported as a single grant amount in public grant-aggregation data; it reflects grant funding (not an equity/venture funding round). No venture-style funding (Seed/Series A, etc.) was identified in the sources reviewed.
- The organization’s domain (abideomaha.org) and EIN (47-0655246) align across sources, supporting correct entity identification.

Recommended next steps if documentary confirmation is required: obtain the organization’s Form 990 PDF(s) for the relevant filing year or review foundation press releases for the Charles Downey Family Foundation or other listed funders to confirm grant date and terms."
"ShareFaith by Ministry Brands","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries","Tech, SaaS & AI Tools","ShareFaith by Ministry Brands provides an all-in-one suite of church worship and outreach resources, including media content, kids curriculum, websites, giving tools, streaming, and church management software. The company targets small-to-medium churches, children's ministry leaders, worship teams, and denominational parishes, with notable customers including New Hope Covenant Church, Lake Community Presbyterian, and Liberty Evangelical Free Church. Pricing starts at $29.99 with a flexible credit-based model for their relaunched ShareFaith Media marketplace. Distribution occurs through direct web sales, free trials, content marketing, webinars, and enterprise sales leveraging Ministry Brands' channel relationships. ShareFaith differentiates by offering integrated ministry-specific solutions that replace fragmented DIY tools, positioning as a comprehensive platform that enhances worship engagement and outreach effectiveness through specialized content and seamless cross-product functionality.","No Result Found","✅ sharefaith.com",,"sharefaith.com","https://www.linkedin.com/company/sharefaith","$1M - $5M","1. Provides resources for churches to enhance worship and outreach efforts effectively.
2. Relying on separate media tools or DIY solutions without cohesive resources.
3. Lower engagement, missed outreach opportunities, and less effective ministry efforts.
4. Offers an all-in-one solution specifically designed for church ministry and outreach.","$29.99","Ministry Brands Holdings, LLC
Ministry Brands
New Hope Covenant Church
Lake Community Presbyterian
Liberty Evangelical Free Church
CMG","Most recent funding stage: Acquired / Buyout. Sharefaith was acquired by Ministry Brands (acquisition reported February 1, 2018 and March 19, 2018 in reputable databases). Round name/status: Acquisition / Buyout (not a venture funding round); financing status listed as Private Equity‑Backed and owner shown as Ministry Brands. No subsequent public funding rounds or later-stage financings were identified in the cited sources, so the company’s current stage is best described as Acquired (owned by Ministry Brands).","","Summary: No publicly disclosed funding amount was found for ShareFaith (sharefaith.com). The most recent material public corporate event is ShareFaith’s acquisition by Ministry Brands, completed in February 2018 and announced March 19, 2018. Latest funding amount (final): Unavailable — no publicly disclosed funding amount or acquisition price found in the reviewed public sources. Date of latest public event: February 2018 (transaction completed; announcement March 19, 2018). Notes on discrepancies/missing data: - PitchBook shows an acquisition record (acquired on 01-Feb-2018) but detailed funding/price data is behind a subscription. - Crunchbase’s public profile for ShareFaith contains company overview information but does not list any publicly disclosed funding rounds or amounts. - M&A reports (Atlas Technology Group, Mergr, Artis Partners) confirm the acquisition but do not disclose deal value. - Ministry Brands’ public communications around the acquisition do not disclose a purchase price. Conclusion: No publicly disclosed funding amount or acquisition price for ShareFaith was identified in the cited public sources. Obtaining a specific acquisition price would likely require access to subscription databases or direct contact with the parties or their advisors."
"Faithwire ","Published Jan 23 and Jan 26 news articles on Planned Parenthood undercover video and DC church 2,...","Published Jan 23 and Jan 26 news articles on Planned Parenthood undercover video and DC church 2,000% growth; no product, hiring, partnership, or exec announcements found.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Brands & Advertisers ","Streaming / Digital Platforms","Faithwire operates as a faith-based digital media publisher providing news, current events coverage, and inspirational content designed to inform and encourage the faith community through values-driven storytelling. The company targets millennials and Gen Z Christians, faith-oriented families including homeschooling households, and mission-oriented donors, with notable brand partnerships including TPUSA, CBN Films, and Mel Gibson. Revenue is generated through sponsored content, native advertising, brand publisher partnerships, and newsletter monetization with integrated multimedia sponsorship packages. Distribution occurs primarily through their website, daily email newsletter, Quick Start Podcast, social media platforms, and mobile-first content optimized for under-40 audiences. Faithwire differentiates itself by focusing specifically on faith principles and community-driven storytelling to address the limited access to faith-centered perspectives on current events, positioning against mainstream media and less targeted religious publications.","faithwire.com",,,"faithwire.com","https://www.linkedin.com/company/faithwire","$5M - $10M","1. Provides faith-based news, stories, and inspiration for the faith community.  
2. Following mainstream media or niche religious publications with less targeted focus.  
3. Limited access to faith-centered, values-driven perspectives on current events and human interest stories.  
4. Focuses on faith principles, inspiration, and community-driven storytelling.",,"TPUSA
Pussycat Dolls
CBN Films
Mel Gibson","Final determination: Faithwire (faithwire.com) has no publicly disclosed external venture or equity funding. Faithwire was launched by and operates with support from the Christian Broadcasting Network (CBN); therefore its current funding stage should be considered: No disclosed external funding (parent-funded / CBN-funded / effectively bootstrapped).","","Latest publicly disclosed funding amount for Faithwire (faithwire.com): unavailable. No public equity or venture funding round and no funding amount were identified in the available sources. Faithwire was launched in 2016 and is owned/operated by the Christian Broadcasting Network (CBN); available records and company pages do not report any venture or equity funding amounts for Faithwire."
"Church.tech","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries","Tech, SaaS & AI Tools","Church.tech specializes in contemporary visual representation through advanced media, graphic, and web design solutions, serving as a resource and consultancy hub for digital ministry technology. The company targets mid-to-large churches and denominational networks, with customers including Burb Creatives, Burb Publishing, and Nissi. Distribution occurs through content-led demand generation, event-driven acquisition, and partner channels with AV vendors, streaming platforms, and church management system providers. They differentiate by focusing on contemporary, specialized designs tailored to company-specific concepts and ideals, positioning against DIY design tools and generic design services that result in poor brand representation and reduced audience engagement.","churchtechonline.com",,,"churchtechonline.com","https://www.linkedin.com/company/thisisnikao","$5M - $10M","1. Enhances visual representation of company concepts through advanced media, graphic, and web design solutions.  
2. DIY design tools or hiring generic design services.  
3. Poor brand representation and reduced engagement with target audiences.  
4. Focus on contemporary, specialized designs tailored to company-specific concepts and ideals.",,"Burb Creatives
Burb Publishing
Nissi","Finding: Church.tech (website: https://church.tech) — No publicly disclosed funding. Most recent funding stage: No recorded funding / appears bootstrapped or privately self-funded (no public rounds). No date or round name available. The provided domain (churchtechonline.com) does not appear to be the company site or to have any public funding disclosures tied to Church.tech.",,"No publicly disclosed funding amount was found for Church.tech. The company website indicates Church.tech was founded in March 2023 and contains no investor or funding disclosures. Searches of common funding databases and the provided domain returned no verified funding rounds or amounts. Latest funding amount: unavailable (no public disclosure)."
"CBN Digital","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Brands & Advertisers ","Streaming / Digital Platforms","CBN Digital is a small Turkish digital agency offering integrated digital marketing services including web and mobile development, SEO, social media management, and Bitrix24 CRM implementations. The company targets small and medium-sized Turkish businesses seeking cost-efficient digital transformation and bundled marketing solutions. Distribution occurs primarily through inbound lead capture via their website project form, LinkedIn outreach, and Bitrix24 partnership channels. They position themselves as a one-stop digital agency specializing in measurable analytics outcomes and CRM automation, differentiating through their local market expertise and integrated service approach for SMBs requiring affordable managed marketing and IT services.","cbndigital.com.tr",,,"cbndigital.com.tr","https://www.linkedin.com/company/cbn-digital","$5M - $10M","I'm sorry, but the provided description for **CBN Digital** is missing, so I cannot answer the questions with 95% certainty.",,,"Funding stage (most recent): No disclosed external venture funding — likely bootstrapped / privately funded. As of 2025-10-27, there are no public records of any funding rounds for CBN Digital (cbndigital.com.tr). The company is described as a privately held Turkish digital marketing / IT services agency with a small team (LinkedIn lists company size 2–10). No entries or funding rounds were found on major funding databases searched, and the company website and About page describe services and experience but do not publicize any funding.",,"Latest publicly disclosed funding amount for CBN Digital (cbndigital.com.tr): unavailable — no public funding information found.

Summary: Multiple reputable sources and the company’s own site contain no records of funding rounds, press releases announcing investment, or investor information for CBN Digital. Publicly accessible profiles indicate a small, privately held digital/IT services and digital marketing agency; no verified funding amounts or dates are available."
"YTA TV (Hybrid)","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries","Streaming / Digital Platforms","YTA TV operates as a hybrid broadcast and streaming network, combining traditional over-the-air/cable distribution with FAST (Free Ad-Supported Television) streaming platforms to maximize audience reach and advertising inventory. The company targets fanboys, nerd culture enthusiasts, gamers, males around 35, sports/MMA fans, and families with children through curated programming blocks and themed content. YTA distributes through dual channels including legacy broadcast affiliates and streaming platforms like Galxy TV, while leveraging Invincible Entertainment's content library and talent partnerships to create appointment viewing experiences. The network positions itself as ""Good Ole TV"" with curated general entertainment programming, differentiating through its profit-share model that incentivizes user engagement and its ability to offer advertisers bundled broadcast and streaming inventory packages. Revenue is generated through programmatic ad sales and direct sales of cross-channel advertising bundles that combine YTA with Invincible's 18 FAST channels.","No Result Found","✅ ytatv.com",,"ytatv.com",,,"1.  
2.  
3.  
4.",,"Invincible Entertainment Corp
Galaxy TV
Department of Content Refinement
The Viewership Center","ACQUISITION","Invincible Entertainment Partners","0"
"Church Translation","Updated platform on January 24 with improved user management, online status features, and bug fix...","Updated platform on January 24 with improved user management, online status features, and bug fixes; no other notable news or hiring signals were identified in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries","Tech, SaaS & AI Tools","Church Translation provides real-time multilingual translation services for worship services through a web-first platform with mobile and livestream integration, supporting 120+ languages to make sermons accessible to non-native speakers. The company targets multilingual churches, non-native worshippers attending services in person, and remote congregants following livestreams online. Pricing follows a transparent pay-as-you-go model at $29.95 with usage-based metering to accommodate churches with variable translation needs. Distribution occurs primarily through self-service web signup at churchtranslation.org, with quick sign-in codes and QR codes to reduce onboarding friction. They position as a specialized AI translation provider that combines live speech recognition with mobile accessibility, competing against established vendors like Wordly through transparent pricing and streamlined church-specific features.","churchtranslation.org",,,"churchtranslation.org",,,"1.  
2.  
3.  
4.","$29.95","Google Chrome
Microsoft Edge
Wix","Most recent funding stage: No publicly disclosed funding found — appears to be bootstrapped / self-funded (no disclosed Seed, Series A/B, or later rounds).

Summary of findings:
- The company website (churchtranslation.org) describes product features, pricing, and login links but contains no investor, press release, or financing disclosure.
- Major funding/startup databases and profiles (Crunchbase, LinkedIn company search, AngelList) did not return a clear funding profile or recorded funding rounds for Church Translation.
- The domain WHOIS/ICANN lookup returns registration information only and does not indicate funding.

Conclusion: Based on publicly available sources, Church Translation (churchtranslation.org) has no publicly disclosed venture funding; the most likely current funding status is bootstrapped / self-funded. This determination is current as of 2025-10-27.",,"Latest publicly disclosed funding amount for Church Translation (domain: churchtranslation.org): Unavailable — no public funding information found as of 2025-10-27. No funding rounds, investor lists, press releases, or team/funding disclosures were found on the company website or in major funding databases."
"RightNow Media","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries","Streaming / Digital Platforms","RightNow Media operates the world's largest customizable library of video discipleship resources, providing over 25,000 Bible studies for small groups, family discipleship, students, and leadership development. The company primarily serves churches, ministries, schools, and workplaces, with customers including The Oaks, Young Life, Bayside Church, and Baylor University. Distribution occurs through church and network partnerships, denominational relationships, pastor referrals, and account-oriented selling with dedicated consultants, supported by events like the RightNow Conference and comprehensive onboarding services. They position as the ""Netflix for Bible Studies,"" differentiating through their vast, scalable video library that addresses limited access to quality discipleship content compared to traditional physical books or smaller video collections.","rightnowmedia.org",,,"rightnowmedia.org","https://www.linkedin.com/company/rightnow-ministries","$10M - $25M","1. Provides a vast library of video discipleship resources for churches, ministries, and workplaces.  
2. Using physical books, smaller video libraries, or no centralized resources for discipleship.  
3. Limited access to quality, scalable discipleship content; less spiritual engagement within communities.  
4. Largest customizable video library tailored for church, ministry, and workplace discipleship.",,"The Oaks
Kingdom
Oak Cliff
Flatirons
Young Life
Bayside Church
Baylor
Southland
Lake Pointe Church
CCV","Research summary and conclusion:

Most recent funding stage: No publicly disclosed venture/seed/series funding — Not VC-funded (listed as a non-profit / ministry).

Summary of analysis:
1) Crunchbase profile for RightNow Media indicates Company Type: Non-profit and shows no listed funding milestones.
2) The official RightNow Media website describes the organization as a ministry (founded in 1977) and promotes a subscription/content service for churches; no public announcements of external equity financing were found on the site.
3) A PitchBook preview was locked and did not provide contradicting funding information.
4) No reputable press coverage (e.g., TechCrunch, Bloomberg) was found announcing any recent equity financing rounds.

Conclusion: As of 2025-10-27, RightNow Media (rightnowmedia.org) has no publicly disclosed venture/angel/series funding rounds and should be classified as: No disclosed funding / Not VC-funded (donor-funded/non-profit).","","No publicly disclosed venture or equity funding rounds were found for RightNow Media (domain: rightnowmedia.org). The organization (RightNow Ministries International) is a 501(c)(3) nonprofit financed primarily by program revenue and donations. The latest public financial disclosure (Form 990) reports FY 2024 total revenue of $36,222,361 USD — this is organizational revenue, not venture capital or equity financing. Therefore, the most recent publicly disclosed VC/financing amount is unavailable. (Note: a Tracxn profile lists a $10.3M Series A on Dec 7, 2020, but that profile likely corresponds to a different company and domain and was excluded for that reason.)"
"LiveVoice.io","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries","Streaming / Digital Platforms","LiveVoice.io provides AI-powered and human audio translation services for events, guided tours, conferences, and audio description without requiring additional hardware, operating via Wi-Fi and mobile data through a simple app. The company targets event organizers, tourism operators, churches, sports venues, and accessibility service providers, with notable customers including ICF Zurich, University of Murcia, Huawei, HubSpot, Apple, and Google. They offer tiered pricing plans (LIGHT/SMART/PRO) with pay-as-you-go AI services billed per minute, starting at $126.95. Distribution occurs through direct web sales, freemium-to-paid funnels, and partner/reseller programs targeting verticalized segments. LiveVoice differentiates by eliminating the need for physical translation devices or on-site interpreters, reducing costs and logistical complexity while providing flexible, cloud-based BYOD smartphone audio streaming solutions.","No Result Found","✅ livevoice.io",,"livevoice.io","https://www.linkedin.com/company/livevoice","$5M - $10M","1. Provides AI or human-powered audio translation for events, tours, and conferences without extra hardware.  
2. Using physical translation devices or hiring on-site interpreters.  
3. Higher costs, logistical challenges, and accessibility limitations.  
4. Requires no additional hardware; operates via Wi-Fi and mobile data.","$126.95","ICF Zurich
Salzburg Congress
University of Murcia
Willow Creek Germany
Pansound Audio & Video Solutions Agency
Salzburger Bildungswerk
JLU Group
Huawei
HubSpot
Apple
Google","Seed","Sebastian Loh","900000"
"CBN (Christian Broadcasting Network)","Published reports on Florida church legal appeals, Bethel Church misconduct investigations, and M...","Published reports on Florida church legal appeals, Bethel Church misconduct investigations, and Minneapolis shooting protests; aired NewsWatch AM; no corporate product, hiring, or partnership updates detected.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Ministries","TV Broadcasters","CBN (Christian Broadcasting Network) is a global nonprofit ministry that shares the Gospel of Jesus Christ through media evangelism and humanitarian aid, operating television, streaming, and radio platforms alongside Operation Blessing relief efforts. The organization targets families with children, Spanish-speaking audiences, streaming viewers, and various donor segments including monthly partners and legacy donors. CBN operates on a donation-based model with monthly partner programs offering tiered benefits at $6.49 and other giving levels, supplemented by gifts-in-kind for humanitarian work. Distribution occurs through multiple digital channels including the CBN Family streaming portal, dedicated mobile apps for news and children's content, traditional television broadcasting, and online platforms. CBN differentiates itself by combining global media outreach with humanitarian aid operations, positioning as a comprehensive ministry that both evangelizes and provides practical assistance worldwide, competing directly with other faith-based networks like PRAY Radio for Christian media audiences and advertising dollars.","No Result Found","✅ cbn.com",,"cbn.com","https://www.linkedin.com/company/cbn","$500M - $1B","1. Shares the Gospel and demonstrates God's love through media and humanitarian aid.  
2. Local churches, mission trips, and independent evangelism efforts.  
3. Limited global reach, fewer resources to spread their message or provide aid.  
4. Combines global media outreach with humanitarian aid on a nonprofit basis.","$6.49","Regent University
700 Club
CBN News
Superbook
Operation Blessing
Orphan's Promise
Vida Dura
Hamas
TPUSA
Egypt","Final determination (most recent funding stage):
- Funding stage: No disclosed venture funding / Unfunded (Not applicable — nonprofit funded by donations/grants)
- Latest round name/date: None (no disclosed rounds)
- Basis: The organization is a long-established 501(c)(3) charitable organization that reports donation and grant revenue and publishes audited financial statements rather than venture-style funding rounds; multiple reputable databases list no funding rounds for the entity.",,"Latest funding amount: Unavailable — no venture/private-equity/Series funding rounds were found for CBN (Christian Broadcasting Network, domain cbn.com). CBN is listed as a nonprofit and does not appear in venture-funding databases as having raised venture/Series capital. 

Most relevant public financial disclosures (audited consolidated financial statements for the year ended March 31, 2025) instead report operational and balance-sheet figures, including:
- Total Ministry Support and Revenues (condensed in thousands): 347,451 (i.e., $347,451,000) for the year ended March 31, 2025.
- Cash and cash equivalents at year-end: $122,324,711 (as reported in the 2025 audited statements).
- Long-term debt (condensed in thousands): 49,885 (i.e., $49,885,000).

Because CBN is a nonprofit funded primarily by donations and gifts rather than venture equity, there is no applicable ""latest funding round amount"" to report from venture/private-equity sources. The figures above are the most recent disclosed financial amounts available publicly."
"K-LOVE (Educational Media Foundation)","Posted job openings for Social Media Manager, CRM Analyst, and video production roles; no major p...","Posted job openings for Social Media Manager, CRM Analyst, and video production roles; no major press releases, product updates, or partnerships found in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Ministries, Brands & Advertisers ","Radio Networks","K-LOVE (Educational Media Foundation) operates a Christian radio network delivering contemporary Christian music, podcasts, and live events through over 900 radio signals nationwide plus global streaming platforms. The company targets ministries, brands, and advertisers, with notable B2B customers including AFLAC, Teladoc, and HealthAdvocate, while also serving Spanish-speaking Christian audiences, younger worship-focused listeners, and women/campus demographics. Revenue comes from donor contributions via seasonal pledge drives and sponsorships, with pricing referenced at $69.99 for certain offerings. Distribution occurs through terrestrial radio station acquisitions, digital platforms (AccessMore podcasts, K-LOVE On Demand), and live events, supported by their Nashville headquarters and technology infrastructure including Salesforce Marketing Cloud and Microsoft Azure. They differentiate as the dominant Christian radio network by combining ministry with modern media technology, providing large-scale consistent Christian-focused content versus smaller providers or secular alternatives.","No Result Found","✅ emfmedia.com",,"emfmedia.com","https://www.linkedin.com/company/emf","$100M to $500M","1. Provides uplifting Christian media through radio, streaming, and live events, impacting millions daily.  
2. Consuming diverse secular media or smaller Christian content providers.  
3. Limited access to large-scale, consistent Christian-focused media.  
4. Combines ministry and modern media with nationwide outreach and global streaming.","$69.99","AFLAC
Teladoc
HealthAdvocate","Research summary and funding-stage determination (as of 2025-10):

Research steps: Reviewed the organization’s official site and its consolidated financial statements, and checked public company profiles on Crunchbase and PitchBook for any disclosed external funding rounds or venture-equity financings.

Findings: Educational Media Foundation (EMF), which operates the K-LOVE and Air1 radio networks, is a nonprofit organization that receives the majority of its support from contributions/donations and maintains investment/endowment assets. EMF’s consolidated financial statements note contributions as primary support and describe acquisitions paid in cash; public profiles (Crunchbase, PitchBook preview) list the organization as nonprofit/private and show EMF as the parent of K-LOVE without any disclosed venture-style funding rounds.

Conclusion (funding stage): Not applicable — EMF/K-LOVE is a nonprofit funded primarily by contributions, donations, and internal resources (endowment and cash). No publicly disclosed Seed/Series A/B or other venture-equity funding rounds were found in the reviewed public documents and profiles.

Additional note: Public filings indicate cash-funded acquisitions and an endowment/investment portfolio, consistent with funding from operations, donations, and investments rather than external venture equity.","","Conclusion: No venture or equity funding rounds were found for K-LOVE / Educational Media Foundation (emfmedia.com). EMF is a 501(c)(3) nonprofit (EIN 94-2816342) that reports donation-based revenue rather than venture or equity financing. The most relevant publicly disclosed funding-like figures (FY 2024) are: Total grants/contributions: $223,395,128 (USD) and Total revenues: $261,048,728 (USD). If the requested item is strictly a venture/equity round amount, the latest funding amount is unavailable (no venture/equity rounds reported). Note: some sources report similar rounded figures (e.g., Forbes lists Private Donations ≈ $225M and Total Revenue ≈ $237M); differences are likely due to rounding or differing reporting periods."
"Faith Talk 590 (Salem Media)","Posted daily 'Time With God' devotionals (Jan 25–28) and a 2026 planner PDF (Jan 22); no press re...","Posted daily 'Time With God' devotionals (Jan 25–28) and a 2026 planner PDF (Jan 22); no press releases, hires, partnerships, product updates, or social/executive changes detected.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries","Radio Networks","Salem Media Group operates as America's leading Christian and conservative media company, providing radio broadcasting, digital content, podcasting, publishing, and advertising solutions across over 100 radio stations and digital platforms. The company serves Christian and conservative audiences, advertisers seeking values-aligned inventory, and organizations like ministries and nonprofits, with notable customers including PureTalk, AMAC, Hillsdale College, and Relief Factor. Salem distributes content through its extensive radio network (67 stations in top 25 markets), Salem Podcast Network, Salem News Channel streaming service, and digital properties, while monetizing through advertising sales, subscription services, and specialized offerings like Salem Cultivate for donor acquisition. The company differentiates itself by providing comprehensive multi-platform advertising solutions (Salem Surround) that bundle radio, digital, and streaming inventory specifically tailored to Christian and conservative audiences, offering advertisers trusted access to this loyal demographic across all media channels.","No Result Found","✅ salemmedia.com",,"salemmedia.com","https://www.linkedin.com/company/salemmediagroup","$250M - $500M","1. Provides Christian, family-themed, and conservative content via radio, internet, and publishing.  
2. Consuming similar content through other general media or niche platforms.  
3. Limited access to tailored, values-aligned content and advertising opportunities.  
4. Focus on Christian and conservative audiences with extensive radio, digital, and publishing reach.",,"PureTalk
AMAC
Save The Children
Food For The Poor
Angi
PHD Weight Loss
Hillsdale College
Israel Ministry of Tourism
United Faith Mortgage
Relief Factor
Legacy PM
Medishare
Eagle Financial Publications
Townhall
Salem Radio Network","Post Ipo Equity","Siena Lending Group","0"
"Salem Media Group","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries, Brands & Advertisers ","Radio Networks","Salem Media Group operates as America's leading Christian and conservative media company, providing radio broadcasting, digital content, and publishing services through over 100 radio stations, the Salem Podcast Network, SalemNOW streaming platform, and various digital properties. The company targets Christian and conservative audiences, serving advertisers including ministries, brands like PureTalk, AMAC, Hillsdale College, and political organizations seeking to reach engaged faith-based and conservative demographics. Salem distributes content through traditional radio broadcasts across major markets, digital platforms and websites, podcast syndication to approximately 2,600 affiliates, and direct advertising sales combining broadcast and digital inventory. The company differentiates itself by offering comprehensive Christian and conservative-themed content across multiple platforms, positioning as a large-scale alternative to fragmented local churches and non-specialized media for tailored faith-based and conservative messaging.","salemmedia.com",,,"salemmedia.com","https://www.linkedin.com/company/salemmediagroup","$250M - $500M","1. Provides Christian, family-themed, and conservative media through radio, internet, and publishing platforms.  
2. People rely on local churches, non-specialized media, or other faith-based platforms for similar content.  
3. Limited access to tailored, comprehensive Christian and conservative-themed content.  
4. Combines radio, online, and publishing with a large market presence and targeted Christian-conservative messaging.",,"PureTalk
AMAC
Save The Children
Food For The Poor
Angi
PHD Weight Loss
Hillsdale College
Israel Ministry of Tourism
United Faith Mortgage
Relief Factor
Legacy PM
Medishare
Eagle Financial Publications
Townhall Media
Salem Church Products
Salem Cultivate
Salem Influencers
SalemNOW","Post Ipo Equity","Siena Lending Group","0"
"Daystar Television Network","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Ministries","TV Broadcasters","Daystar Television Network operates as a global faith-based television broadcaster, providing Christian programming and supporting charitable initiatives like the Daystar House of Hope in Israel and the Irene Gleeson Foundation in Uganda. The network targets U.S. Hispanic viewers through Daystar Español, Canadian audiences via Daystar Canada, cord-cutters through OTT apps, and international Christian audiences globally. Revenue is generated through partner/donor cultivation, recurring giving programs, and airtime sales to third-party programmers at $850.00. Distribution spans broadcast, cable/satellite, and streaming platforms including iOS, Android, Roku, Amazon, and smart TVs, plus their daystar.tv on-demand platform. They position as the fastest-growing Christian network with unique global reach, including exclusive broadcast access to every home in Israel, differentiating from competitors like Faithlife, INSP, and EWTN.","No Result Found","✅ daystar.com",,"daystar.com","https://www.linkedin.com/company/daystar-television-network","$100M - $250M","1. Provides global faith-based television programming and supports charitable initiatives.  
2. Watching other faith-based broadcasts, local religious gatherings, or online resources.  
3. Reduced global access to faith-based content and support for targeted charitable causes.  
4. Fast-growing Christian network broadcast worldwide, including unique access to every home in Israel.","$850.00","Daystar Canada
Daystar Español","Summary and conclusion

Objective: Identify the most recent funding stage for Daystar Television Network (daystar.com).

Conclusion: No disclosed venture-equity funding. Daystar Television Network (owned by Word of God Fellowship) does not appear to have any public Seed/Series/VC funding rounds. The most recent publicly documented financing event tied to the organization is a Paycheck Protection Program (PPP) loan of $3.9 million received in 2020 (later repaid with interest). Therefore, the correct characterization is that Daystar is not a VC-funded startup and has no disclosed Series funding stage.","","Latest publicly disclosed funding amount: 3,900,000 USD (Paycheck Protection Program loan received in 2020; subsequently repaid with interest). No venture-style equity rounds or investor-led funding rounds were identified in public records or reputable business-data sources. Other publicly reported financial figures for the organization are donations, revenues, assets, and internal investments (for example, reporting citing $31 million in donations in 2010 and approximately $227M in total assets in older consolidated statements). Some business-data aggregators list a small “total funding” figure (<$5M) with a last funding date in 2020, but those entries conflict with nonprofit filings and appear unverified."
